Category: All categories

Week,srbija slovenija: (Serbia)
2023-12-31,<1
2024-01-07,1
2024-01-14,<1
2024-01-21,1
2024-01-28,1
2024-02-04,1
2024-02-11,0
2024-02-18,0
2024-02-25,0
2024-03-03,1
2024-03-10,0
2024-03-17,1
2024-03-24,1
2024-03-31,1
2024-04-07,1
2024-04-14,0
2024-04-21,1
2024-04-28,0
2024-05-05,1
2024-05-12,0
2024-05-19,1
2024-05-26,1
2024-06-02,1
2024-06-09,2
2024-06-16,100
2024-06-23,7
2024-06-30,1
2024-07-07,1
2024-07-14,1
2024-07-21,1
2024-07-28,3
2024-08-04,0
2024-08-11,0
2024-08-18,1
2024-08-25,1
2024-09-01,1
2024-09-08,1
2024-09-15,1
2024-09-22,0
2024-09-29,1
2024-10-06,0
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,1
2024-11-17,1
2024-11-24,0
2024-12-01,<1
2024-12-08,<1
2024-12-15,<1
