Category: All categories

Week,azbuka naseg zivota: (Serbia)
2023-12-31,28
2024-01-07,68
2024-01-14,100
2024-01-21,41
2024-01-28,31
2024-02-04,24
2024-02-11,24
2024-02-18,22
2024-02-25,10
2024-03-03,6
2024-03-10,5
2024-03-17,3
2024-03-24,3
2024-03-31,2
2024-04-07,2
2024-04-14,2
2024-04-21,0
2024-04-28,1
2024-05-05,1
2024-05-12,3
2024-05-19,3
2024-05-26,2
2024-06-02,2
2024-06-09,2
2024-06-16,3
2024-06-23,2
2024-06-30,0
2024-07-07,0
2024-07-14,1
2024-07-21,0
2024-07-28,0
2024-08-04,0
2024-08-11,1
2024-08-18,2
2024-08-25,0
2024-09-01,0
2024-09-08,1
2024-09-15,0
2024-09-22,0
2024-09-29,1
2024-10-06,0
2024-10-13,0
2024-10-20,1
2024-10-27,0
2024-11-03,0
2024-11-10,0
2024-11-17,0
2024-11-24,0
2024-12-01,<1
2024-12-08,<1
2024-12-15,1
